class_id,class_name,expert,mean,std
0,Tomato Early blight leaf,0,0.4600000001490116,0.40373258383640115
0,Tomato Early blight leaf,1,0.41000000312924384,0.3764970124548536
0,Tomato Early blight leaf,2,0.3299999959766865,0.3667424065444788
0,Tomato Early blight leaf,3,0.7999999940395355,0.22638461989653474
1,Tomato Septoria leaf spot,0,0.3523809514939785,0.4423704371365203
1,Tomato Septoria leaf spot,1,0.4095238208770752,0.20919889081275278
1,Tomato Septoria leaf spot,2,0.5047618988901377,0.31604843952566325
1,Tomato Septoria leaf spot,3,0.7333333313465118,0.33307812461403763
2,Tomato leaf,0,0.44499999582767485,0.25458298523579165
2,Tomato leaf,1,0.5100000023841857,0.395521808291863
2,Tomato leaf,2,0.4200000036507845,0.3780707594506155
2,Tomato leaf,3,0.6249999940395355,0.28668361846166535
3,Tomato leaf bacterial spot,0,0.39999999701976774,0.30920935805094446
3,Tomato leaf bacterial spot,1,0.5481481552124023,0.14200215162048901
3,Tomato leaf bacterial spot,2,0.31851851642131807,0.1562594275449595
3,Tomato leaf bacterial spot,3,0.7333333373069764,0.18407071701374855
4,Tomato leaf late blight,0,0.40000000298023225,0.40579480235324716
4,Tomato leaf late blight,1,0.6272727251052856,0.35848624987508376
4,Tomato leaf late blight,2,0.4454545497894287,0.36135649562256084
4,Tomato leaf late blight,3,0.5272727280855178,0.28130450573308724
5,Tomato leaf mosaic virus,0,0.6846153751015663,0.3935500601352888
5,Tomato leaf mosaic virus,1,0.5769230872392654,0.27467032606067243
5,Tomato leaf mosaic virus,2,0.5076923072338104,0.3368405156146919
5,Tomato leaf mosaic virus,3,0.23076923415064812,0.1585809881200978
6,Tomato leaf yellow virus,0,0.5468354392796755,0.40331902633932004
6,Tomato leaf yellow virus,1,0.4810126632452011,0.26881975380882694
6,Tomato leaf yellow virus,2,0.6835443019866944,0.39403499351755583
6,Tomato leaf yellow virus,3,0.28860759884119036,0.2577744858552437
7,Tomato mold leaf,0,0.5862068951129913,0.14425172951116474
7,Tomato mold leaf,1,0.6275862097740174,0.18949836802288472
7,Tomato mold leaf,2,0.41379311084747317,0.18569534509474234
7,Tomato mold leaf,3,0.3724137932062149,0.20312657327303543
