num_experts,top_k,accuracy,macro_f1
2,1,0.8196491228070176,0.787294787470136
2,2,0.8182456140350878,0.7838875940846494
3,1,0.7992982456140351,0.7701130491322601
3,2,0.8112280701754386,0.7753802827474818
4,1,0.8189473684210526,0.7879954950463259
4,2,0.8091228070175438,0.7767672949430219
5,1,0.791578947368421,0.7597691608957852
5,2,0.8035087719298246,0.7681051607575136
6,1,0.8091228070175438,0.7772123874025255
6,2,0.8329824561403509,0.8084172163173602
6,3,0.8266666666666665,0.7946776392299293
