top_k,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
1,5,0.8308771929824562,0.016900483619357604,0.792696097397269,0.012560019244814912
2,5,0.8596491228070174,0.012405382126079785,0.8275480763705785,0.015346036597841652
3,5,0.8540350877192984,0.02308867912471873,0.8242654148395658,0.02677297419307357
4,5,0.8491228070175438,0.019692933614599718,0.8123623101832456,0.029087257562905165
