metric,n_seeds,learned_mean,shuffled_mean,mean_delta,paired_t_p,wilcoxon_p
Accuracy,5,0.8596491228070174,0.8287438596491228,0.03090526315789468,0.001286796231137508,0.0625
Macro-F1,5,0.8275480763705785,0.7912156895440396,0.03633238682653887,0.0021617129774123213,0.0625
