seed,permutation,learned_accuracy,learned_macro_f1,shuffled_accuracy,shuffled_macro_f1
42,0,0.856140350877193,0.8364899347527317,0.8315789473684211,0.8000953613359628
42,1,0.856140350877193,0.8364899347527317,0.8421052631578947,0.8183081824863488
42,2,0.856140350877193,0.8364899347527317,0.8245614035087719,0.7985358123686552
42,3,0.856140350877193,0.8364899347527317,0.8140350877192982,0.7723373375843188
42,4,0.856140350877193,0.8364899347527317,0.8385964912280702,0.811435268309649
42,5,0.856140350877193,0.8364899347527317,0.8280701754385965,0.7981096353107093
42,6,0.856140350877193,0.8364899347527317,0.8526315789473684,0.8251031494133697
42,7,0.856140350877193,0.8364899347527317,0.8350877192982457,0.7963049202422693
42,8,0.856140350877193,0.8364899347527317,0.8315789473684211,0.7971758260720556
42,9,0.856140350877193,0.8364899347527317,0.8280701754385965,0.7965037338843883
42,10,0.856140350877193,0.8364899347527317,0.8210526315789474,0.7791867144330131
42,11,0.856140350877193,0.8364899347527317,0.8245614035087719,0.7927612503526931
42,12,0.856140350877193,0.8364899347527317,0.8456140350877193,0.812900398350592
42,13,0.856140350877193,0.8364899347527317,0.8210526315789474,0.7855571607552049
42,14,0.856140350877193,0.8364899347527317,0.8210526315789474,0.790671796954922
42,15,0.856140350877193,0.8364899347527317,0.8210526315789474,0.7890674857338756
42,16,0.856140350877193,0.8364899347527317,0.8280701754385965,0.7963745385593887
42,17,0.856140350877193,0.8364899347527317,0.8315789473684211,0.8036439217312135
42,18,0.856140350877193,0.8364899347527317,0.8280701754385965,0.7972919011341972
42,19,0.856140350877193,0.8364899347527317,0.8140350877192982,0.7778807542406257
42,20,0.856140350877193,0.8364899347527317,0.8350877192982457,0.8054035028043605
42,21,0.856140350877193,0.8364899347527317,0.8456140350877193,0.8140667124674869
42,22,0.856140350877193,0.8364899347527317,0.8456140350877193,0.8202512996818905
42,23,0.856140350877193,0.8364899347527317,0.8421052631578947,0.8138823049390177
42,24,0.856140350877193,0.8364899347527317,0.8070175438596491,0.7690673424354031
42,25,0.856140350877193,0.8364899347527317,0.8315789473684211,0.800221296359667
42,26,0.856140350877193,0.8364899347527317,0.8175438596491228,0.7760843489976441
