seed,class_id,class_name,expert,class_activation_rate
45,2,Tomato leaf,1,0.0
45,2,Tomato leaf,2,1.0
45,2,Tomato leaf,3,0.6499999761581421
45,3,Tomato leaf bacterial spot,0,0.14814814925193787
45,3,Tomato leaf bacterial spot,1,0.5555555820465088
45,3,Tomato leaf bacterial spot,2,0.4444444477558136
45,3,Tomato leaf bacterial spot,3,0.8518518805503845
45,4,Tomato leaf late blight,0,0.09090909361839294
45,4,Tomato leaf late blight,1,0.3636363744735718
45,4,Tomato leaf late blight,2,0.9090909361839294
45,4,Tomato leaf late blight,3,0.6363636255264282
45,5,Tomato leaf mosaic virus,0,0.8846153616905212
45,5,Tomato leaf mosaic virus,1,0.23076923191547394
45,5,Tomato leaf mosaic virus,2,0.7692307829856873
45,5,Tomato leaf mosaic virus,3,0.11538461595773697
45,6,Tomato leaf yellow virus,0,0.7848101258277893
45,6,Tomato leaf yellow virus,1,0.8734177350997925
45,6,Tomato leaf yellow virus,2,0.2151898741722107
45,6,Tomato leaf yellow virus,3,0.1265822798013687
45,7,Tomato mold leaf,0,0.517241358757019
45,7,Tomato mold leaf,1,0.4137931168079376
45,7,Tomato mold leaf,2,0.5862069129943848
45,7,Tomato mold leaf,3,0.48275861144065857
46,0,Tomato Early blight leaf,0,0.75
46,0,Tomato Early blight leaf,1,0.20000000298023224
46,0,Tomato Early blight leaf,2,0.10000000149011612
46,0,Tomato Early blight leaf,3,0.949999988079071
46,1,Tomato Septoria leaf spot,0,0.6666666865348816
46,1,Tomato Septoria leaf spot,1,0.1428571492433548
46,1,Tomato Septoria leaf spot,2,0.8333333134651184
46,1,Tomato Septoria leaf spot,3,0.3571428656578064
46,2,Tomato leaf,0,0.824999988079071
46,2,Tomato leaf,1,0.2750000059604645
46,2,Tomato leaf,2,0.02500000037252903
46,2,Tomato leaf,3,0.875
46,3,Tomato leaf bacterial spot,0,0.5185185074806213
46,3,Tomato leaf bacterial spot,1,0.7037037014961243
46,3,Tomato leaf bacterial spot,2,0.2222222238779068
46,3,Tomato leaf bacterial spot,3,0.5555555820465088
46,4,Tomato leaf late blight,0,0.8636363744735718
46,4,Tomato leaf late blight,1,0.1818181872367859
46,4,Tomato leaf late blight,2,0.0
46,4,Tomato leaf late blight,3,0.9545454382896423
46,5,Tomato leaf mosaic virus,0,0.5
46,5,Tomato leaf mosaic virus,1,0.9230769276618958
46,5,Tomato leaf mosaic virus,2,0.3461538553237915
46,5,Tomato leaf mosaic virus,3,0.23076923191547394
46,6,Tomato leaf yellow virus,0,0.2278480976819992
46,6,Tomato leaf yellow virus,1,0.6329113841056824
46,6,Tomato leaf yellow virus,2,0.9746835231781006
46,6,Tomato leaf yellow virus,3,0.16455696523189545
46,7,Tomato mold leaf,0,0.4137931168079376
46,7,Tomato mold leaf,1,0.6551724076271057
46,7,Tomato mold leaf,2,0.4482758641242981
46,7,Tomato mold leaf,3,0.48275861144065857
