top_k,runs,threads,mean_ms,median_ms,p95_ms,std_ms
1,300,1,4.833779096904133,4.798189998837188,5.5444400386477355,0.38761721709312075
2,300,1,5.422866153239738,5.410448502516374,6.113385206845123,0.4260340764165966
3,300,1,5.648425059916917,5.617848495603539,6.177122847293504,0.30840393192226
4,300,1,6.129950260268136,6.092555006034672,6.677685796603328,0.3113608563494921
