num_experts,top_k,accuracy,macro_f1
2,1,0.8470175438596492,0.8169916843742364
2,2,0.8308771929824562,0.7942398890614455
3,1,0.8470175438596492,0.8124067147651337
3,2,0.8449122807017544,0.8140738173464023
4,1,0.8280701754385966,0.7919265775099559
4,2,0.8329824561403509,0.800249312419489
5,1,0.8435087719298245,0.8131939631653742
5,2,0.8266666666666665,0.7922280344404136
6,1,0.8364912280701755,0.805511144416306
6,2,0.8357894736842105,0.8024590181521472
6,3,0.8505263157894737,0.8189673943073386
7,1,0.8196491228070176,0.7839316816888751
7,2,0.8414035087719298,0.8084797718645019
7,3,0.8435087719298245,0.8082118621356426
8,1,0.8259649122807018,0.7908953155424145
8,2,0.8428070175438597,0.8039164618680493
8,3,0.8449122807017544,0.8116602114581181
8,4,0.847719298245614,0.8160478078466639
