top_k,runs,threads,mean_ms,median_ms,p95_ms,std_ms
1,300,1,8.209518763402835,8.028930000364198,11.468663851610472,1.9465578017711116
2,300,1,9.780700603362979,9.593351999683364,13.247782301641564,1.9443286499339427
3,300,1,12.349823606606757,12.62298250094318,16.975884901330573,2.9305232196711115
4,300,1,13.350094833270608,13.346431000172743,17.32497264920312,2.5243388031370673
