model,n_seeds,parameters,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
Matched torchvision MNV3-Small,5,1526056,0.8266666666666668,0.022274484558742244,0.7894266732718955,0.02424245144840766
MoE,5,3484472,0.8596491228070174,0.012405382126079785,0.8275480763705785,0.015346036597841652
Static-uniform 4-expert,5,5844904,0.8364912280701754,0.023353770234798184,0.8019382511188432,0.02472132911078202
