top_k,runs,threads,mean_ms,median_ms,p95_ms,std_ms
1,300,1,23.823625289975705,23.79388250028569,24.017483350689872,0.15197098651407576
2,300,1,25.40645541662646,25.365568500092195,25.61076030096956,0.304161233612017
3,300,1,27.467751773377433,27.381971499380597,27.62191090014312,1.0129396252368397
4,300,1,31.673479923319974,31.635833999644092,31.940410651623097,0.1957532744401377
