metric,n_seeds,context_mean,zero_context_mean,mean_delta,paired_t_p,wilcoxon_p
accuracy,5,0.8596491228070174,0.8329824561403509,0.02666666666666666,0.18790396412757626,0.3125
macro_f1,5,0.8275480763705785,0.8018369181562631,0.025711158214315355,0.209363826692154,0.3125
